smh_1,Tera baap bambani h . bambani . ambani nhi IndvsSA,CAG
smh_2,आज विकेट जाने पर ख़ुशी काम हो है. इंदवसुए,NAG
smh_3,चौका मारकर इतना उड़ रहे हो :flushed_face: सालों छक्का मारा तब तो नंगा नाच करने लग जाओगे BC तुम मैदान में :face_with_tears_of_joy: IndVsPak,OAG
smh_4,"RT ErVishalInsan: BlockBusterMSG MustWatchMSG देखो MSG The Messenger है कमाल
 हर एक की जिंदगी कर देगी खुशियो से माला मालामाल",NAG
smh_5,शिट IndvsPak,CAG
smh_6,छठी बार छठी का दूध पाक को याद दिला देना Team India IndWins IndvsPak,OAG
smh_7,"इंदवस्पक
फटनी शुरू पाक की.जय हिन्द",OAG
smh_8,"aajtak अरे निर्दयी विजेताओं,जीत हार तो ठीक है,लेकिन क्या किसी ने पड़ोसिओं (पाकिस्तान) से पुछा,कि उन्होंने खाना खाया भी है या नहीं?IndvsPak",CAG
smh_9,इस नई सरकार को भुखमरो से निबटना है। केजरी की चड्डी बी उतार लेंगे ये। KiskiDilli AAPSweep AAP,CAG
smh_10,IndvsPak Shahzaad OUT! Thoko TAAALIIII. Indianeedwickets,CAG
smh_11,"साले जल्दी आउट हो गए ni तो आज iPoonampandey धीरे- सारे कपड़े उतार देती.
PoonamPandeyKoBulao IndvsSA",CAG
smh_12,रमीज राजा बकलंड जल्दी जल्दी में Man of the match की जगह man of the player बोल गया । चुतिया साला ।। IndvsPak,OAG
smh_13,"अमित शाह जी आप जुमला करते बैठो 
आमआदमीपार्टी डेवलपमेंट लाएगी इंडिया में
सालकेजरीवाल
आपस्वीप",CAG
smh_14,"Really ? ""newsflickshindi: BlockBusterMSG इसलिए भी है क्योंकि उसने कई रिकॉर्ड बनाए हैं.",NAG
smh_15,तुमसे अभी भी न हो पाएगा िंदवस्पक,NAG
smh_16,"AAPSweep किरण बेदी के सुर बदल गए.मैं हारी हुईं हूँ, मुझे बोलने दीजिये. आज तो साल का अनुभव भी फुस्स हो गया!",OAG
smh_17,बस कोई ीपूनमपांडेय को रोको. अपने वाले लौंडे गर्म हो गए िन्दवस्सा,OAG
smh_18,Rail Budget simply I can say आम जनता का बजट।,NAG
smh_19,अफ्रीकी जहां धवन के पीछे पडे थे रहाने ने धीरेस् उनकीमार ली। IndvsSA,OAG
smh_20,"बीफ़बैं से मुझे चिंता है कि आवारा बछड़ो की समस्या बढ़ जाएगी,कौन पालेगा इनको,धर्म के लिए खेती चौपट कराओ.",CAG
smh_21,"ना पेट है रोटी,
ना तन पे है कपडा,
ना ज़मीन पे है मकान,
इंडिया को हराने के सपने देख रहा पाकिस्तान।

INDvsPAK जयहिंद जयहिन्द",OAG
smh_22,"RT RoflGandhi_: रोहित ""भैया कुल्फी ढंग से जमी हुई नहीं है""
कुल्फी वाला ""चुपचाप ले ले, तेरे से तो ज्यादा ही जमी हुई है"" IndvsSA",OAG
smh_23,IndvsSA Chokers Will Remains Choker Forever _/\_,OAG
