facebook_corpus_msr_376582,अबे मोवी म भी धर्म आज्ञा क्या पागलपनती ह ये,OAG
facebook_corpus_msr_377511,बदनाम गुजात कुत्ते की औलाद मादरचोद पाकिस्तानी कुत्तो सूअर की औलाद मादरचोद पाकिस्तानी कुत्तो सूअर की औलाद,OAG
facebook_corpus_msr_379436,मोदी जी आप एक बार ूप का कम को ये ऑफर दे फिर देखे  पाकिस्तान की छथि का ढूढ एड दिला देंगे,CAG
facebook_corpus_msr_377609,क्या होता है जी जब कोई पं बन जाता है तो इतना प्रेशर रहता है की वही जानता है कुछ न कुछ होगा इस वार जी. बस आप लोग और सपोर्ट करे लोगो,CAG
facebook_corpus_msr_386065,"मुसलमान अपना धर्म तो जानते नही लेकिन काँपी कर हिन्दु से सवाल पुछते रहते है जरा हमारे भी सवालो के जवाब दे दो हिम्मत है तो ।
1) इस्लाम बनाने वाले मोहम्म",OAG
facebook_corpus_msr_352963,हमारे देश क जवानो को बोल दिया जये .....बस अपने आप देख लेंगे किस तरह से ऐसी तैसी करनी ह ......और नेताओं को नजरबंद कर दिया फुल पॉवर आर्मी और प्,CAG
facebook_corpus_msr_385923,बीजेपी वाले बस मुसलमानो को टारगेट करना जानते हैं तलाक.अज़ान ेटफ.मुद्दों को लेकर और  जो जवान शहीद हो रहे हैं उनके बारे में बोलना व् नही चाहते है,CAG
facebook_corpus_msr_379018,"Modi aur rajnath ke taraf se mai kathor ,ghor ninda karta hu,,:winking_face_with_tongue::winking_face_with_tongue::winking_face_with_tongue::winking_f",CAG
facebook_corpus_msr_353686,बार बार मरने से अच्छा है एक बार ही मरे.   और अपने देश में.  पाकिस्तान ही आंतकवाद बढ़ाता है.   पाकिस्तान नही तो आंतकवाद नहीं होगा.  उसकी पूंछ,CAG
facebook_corpus_msr_381605,तुम्हारे घर क कोई म्रे न तब अक्ल आयेगी सालो,OAG
facebook_corpus_msr_382914,Ýah aurat ke roope pagal aur naggi kutti hai.beshram kahi ki.,OAG
facebook_corpus_msr_355209,आलमी वालो को आदेस देना चाहिये वो अपने आप सोच लेगें,CAG
facebook_corpus_msr_410251,सरकार में बेठे हुए सभी भिखारी तो हे मगर दिल और दिमांग दोनों जगा से भिखारी हे ..सायद ये सरकार को गरीबो को मजाक बनाये बिना कुछ आता नहीं हे ..,OAG
facebook_corpus_msr_346946,सेल पकिस्तनियो तम्हारे पास तिरपाल की औकात नही है वो भी हमसे पैसे लेकर बना था तेरा मुल्क,OAG
facebook_corpus_msr_386052,पर इंडिया में ऐसा क्यू खून के बदलि खुन क्यू नहीं अमेरिका और इतर कंट्री तो इन टेररिस्ट को तो सबक सिखाते है,CAG
facebook_corpus_msr_380628,सिर्फ निन्दा करते रहो और सैनिक यू ही शहीद होते रहेंगे,CAG
facebook_corpus_msr_377332,"जो मुसलमानो को पाकिस्तान भेजने की बात करने है...
वो नेपाल चले जय....
हिंदुस्तान मे देश द्रोही की जगह नहीं है...",OAG
facebook_corpus_msr_378632,नेता सबसे हरामी होते हैं वैसे इन नेताओ को  मारना चाहिए,OAG
facebook_corpus_msr_379452,मई तो कहता हू इंडियन मुस्लिम को फ़ौज में ज़्यादा ज़्यादा  भर्ती करो हम अपने देश के लिए जान निछावर करने के लिए तैयार है ऐसा सबक सिखएंग,CAG
facebook_corpus_msr_337861,"बीजेपी को ज्वाइन कर लो 
केजरीबाल जैसे भ्रस्ट नेताओं को छोड़ दो हमेषा क लिए",OAG
facebook_corpus_msr_466640,एक भी मुल्ला ऐसा नहीं देखा जो मोदी क ख़िलाफ न हो तो हिन्दू को भी ये सोचना चाहिए की हम सिर्फ और सिर्फ मोदी का साथ दे,CAG
facebook_corpus_msr_354489,Pakistan ka ilaz goli use vo design do jai hind,CAG
facebook_corpus_msr_466786,आपकी पार्टी में दम है तो मोदी सर जेसा करके दिखावो आपको खबना अत है और कुछ नही सो प्ल्ज़ जो काम करता है उसे शांति से कटने दो,CAG
facebook_corpus_msr_379053,पाकिस्तान यैसा करता रहेगा भारत टेलिभिनाेंमे बहस करता रहेगा अैार भारतकी यहि कमजाेरी है पाकिस्तानकाे मालुम है भारत कुछ कर नहि सकता ।,CAG
